"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","29","29000","Missouri","5,674,560","783,101","767,350","798,852","767,350 to 798,852","13.8","13.5","14.1","13.5 to 14.1","1,390,460","267,968","258,905","277,032","258,905 to 277,032","19.3","18.6","19.9","18.6 to 19.9","1,001,748","173,091","164,960","181,222","164,960 to 181,222","17.3","16.5","18.1","16.5 to 18.1","380,197","86,413","82,313","90,512","82,313 to 90,512","22.7","21.7","23.8","21.7 to 23.8","$42,838","$42,404","$43,272","$42,404 to $43,272"
"2015","30","30000","Montana","1,007,722","144,634","139,500","149,768","139,500 to 149,768","14.4","13.9","14.9","13.9 to 14.9","221,036","41,503","39,095","43,911","39,095 to 43,911","18.8","17.7","19.9","17.7 to 19.9","159,288","26,793","24,749","28,837","24,749 to 28,837","16.8","15.5","18.1","15.5 to 18.1","60,232","13,432","12,237","14,627","12,237 to 14,627","22.3","20.3","24.3","20.3 to 24.3","$49,650","$48,370","$50,930","$48,370 to $50,930"
"2014","30","30000","Montana","997,959","151,915","146,451","157,379","146,451 to 157,379","15.2","14.7","15.7","14.7 to 15.7","219,300","42,150","39,999","44,301","39,999 to 44,301","19.2","18.2","20.2","18.2 to 20.2","158,197","28,508","26,711","30,305","26,711 to 30,305","18.0","16.9","19.1","16.9 to 19.1","59,857","12,452","11,325","13,579","11,325 to 13,579","20.8","18.9","22.7","18.9 to 22.7","$46,608","$45,512","$47,704","$45,512 to $47,704"
"2013","30","30000","Montana","990,608","159,248","153,605","164,891","153,605 to 164,891","16.1","15.5","16.7","15.5 to 16.7","219,248","45,588","42,894","48,282","42,894 to 48,282","20.8","19.6","22.0","19.6 to 22.0","159,086","30,655","28,348","32,962","28,348 to 32,962","19.3","17.8","20.8","17.8 to 20.8","59,157","13,782","12,481","15,083","12,481 to 15,083","23.3","21.1","25.5","21.1 to 25.5","$46,893","$45,853","$47,933","$45,853 to $47,933"
"2012","30","30000","Montana","980,556","153,105","148,141","158,069","148,141 to 158,069","15.6","15.1","16.1","15.1 to 16.1","217,171","45,923","43,663","48,183","43,663 to 48,183","21.1","20.1","22.1","20.1 to 22.1","156,253","30,052","28,091","32,013","28,091 to 32,013","19.2","17.9","20.5","17.9 to 20.5","59,330","14,621","13,556","15,686","13,556 to 15,686","24.6","22.8","26.4","22.8 to 26.4","$45,030","$44,048","$46,012","$44,048 to $46,012"
"2011","30","30000","Montana","974,049","148,183","142,865","153,501","142,865 to 153,501","15.2","14.7","15.7","14.7 to 15.7","218,012","45,645","43,286","48,004","43,286 to 48,004","20.9","19.8","22.0","19.8 to 22.0","155,470","29,528","27,502","31,554","27,502 to 31,554","19.0","17.7","20.3","17.7 to 20.3","60,955","14,704","13,437","15,971","13,437 to 15,971","24.1","22.0","26.2","22.0 to 26.2","$44,011","$43,041","$44,981","$43,041 to $44,981"
"2010","30","30000","Montana","964,505","146,257","140,628","151,886","140,628 to 151,886","15.2","14.6","15.8","14.6 to 15.8","218,735","46,183","43,543","48,823","43,543 to 48,823","21.1","19.9","22.3","19.9 to 22.3","155,659","29,085","26,726","31,444","26,726 to 31,444","18.7","17.2","20.2","17.2 to 20.2","61,072","15,720","14,501","16,939","14,501 to 16,939","25.7","23.7","27.7","23.7 to 27.7","$42,303","$41,341","$43,265","$41,341 to $43,265"
"2009","30","30000","Montana","946,384","142,257","136,769","147,745","136,769 to 147,745","15.0","14.5","15.6","14.5 to 15.6","214,489","44,840","42,310","47,369","42,310 to 47,369","20.9","19.7","22.1","19.7 to 22.1","151,621","27,924","25,872","29,976","25,872 to 29,976","18.4","17.1","19.8","17.1 to 19.8","61,225","15,620","14,203","17,037","14,203 to 17,037","25.5","23.2","27.8","23.2 to 27.8","$42,222","$41,282","$43,162","$41,282 to $43,162"
"2008","30","30000","Montana","942,904","132,971","127,999","137,943","127,999 to 137,943","14.1","13.6","14.6","13.6 to 14.6","216,489","41,477","39,136","43,818","39,136 to 43,818","19.2","18.1","20.2","18.1 to 20.2","153,838","26,032","23,957","28,107","23,957 to 28,107","16.9","15.6","18.3","15.6 to 18.3","60,075","13,678","12,568","14,789","12,568 to 14,789","22.8","20.9","24.6","20.9 to 24.6","$43,948","$42,796","$45,099","$42,796 to $45,099"
"2007","30","30000","Montana","933,276","131,433","126,905","135,961","126,905 to 135,961","14.1","13.6","14.6","13.6 to 14.6","215,572","40,834","38,728","42,940","38,728 to 42,940","18.9","18.0","19.9","18.0 to 19.9","155,672","25,988","24,073","27,903","24,073 to 27,903","16.7","15.5","17.9","15.5 to 17.9","58,041","13,336","12,452","14,221","12,452 to 14,221","23.0","21.5","24.5","21.5 to 24.5","$43,000","$42,078","$43,921","$42,078 to $43,921"
"2006","30","30000","Montana","921,455","132,537","128,341","136,733","128,341 to 136,733","14.4","13.9","14.8","13.9 to 14.8","213,991","41,287","39,165","43,409","39,165 to 43,409","19.3","18.3","20.3","18.3 to 20.3","154,789","26,185","24,293","28,077","24,293 to 28,077","16.9","15.7","18.1","15.7 to 18.1","56,992","13,309","12,273","14,346","12,273 to 14,346","23.4","21.5","25.2","21.5 to 25.2","$40,299","$39,637","$40,961","$39,637 to $40,961"
"2015","31","31000","Nebraska","1,842,687","224,696","217,304","232,088","217,304 to 232,088","12.2","11.8","12.6","11.8 to 12.6","462,607","73,349","69,286","77,412","69,286 to 77,412","15.9","15.0","16.8","15.0 to 16.8","330,959","47,761","44,388","51,134","44,388 to 51,134","14.4","13.4","15.4","13.4 to 15.4","128,293","22,837","20,845","24,829","20,845 to 24,829","17.8","16.2","19.4","16.2 to 19.4","$55,073","$54,271","$55,875","$54,271 to $55,875"
"2014","31","31000","Nebraska","1,828,140","225,054","218,509","231,599","218,509 to 231,599","12.3","11.9","12.7","11.9 to 12.7","458,792","73,270","69,375","77,165","69,375 to 77,165","16.0","15.2","16.8","15.2 to 16.8","328,868","48,249","45,075","51,423","45,075 to 51,423","14.7","13.7","15.7","13.7 to 15.7","127,900","23,075","20,914","25,236","20,914 to 25,236","18.0","16.3","19.7","16.3 to 19.7","$52,803","$52,139","$53,467","$52,139 to $53,467"
"2013","31","31000","Nebraska","1,815,562","234,742","227,326","242,158","227,326 to 242,158","12.9","12.5","13.3","12.5 to 13.3","456,306","77,850","73,190","82,510","73,190 to 82,510","17.1","16.1","18.1","16.1 to 18.1","326,287","49,030","45,209","52,851","45,209 to 52,851","15.0","13.8","16.2","13.8 to 16.2","127,806","26,764","24,192","29,336","24,192 to 29,336","20.9","18.9","22.9","18.9 to 22.9","$51,502","$51,017","$51,987","$51,017 to $51,987"
"2012","31","31000","Nebraska","1,800,892","230,375","223,087","237,663","223,087 to 237,663","12.8","12.4","13.2","12.4 to 13.2","453,303","78,806","74,931","82,681","74,931 to 82,681","17.4","16.5","18.3","16.5 to 18.3","321,738","51,189","47,880","54,498","47,880 to 54,498","15.9","14.9","16.9","14.9 to 16.9","129,503","25,654","23,720","27,588","23,720 to 27,588","19.8","18.3","21.3","18.3 to 21.3","$50,766","$50,207","$51,325","$50,207 to $51,325"
"2011","31","31000","Nebraska","1,789,287","230,003","223,029","236,977","223,029 to 236,977","12.9","12.5","13.3","12.5 to 13.3","451,108","79,312","75,238","83,386","75,238 to 83,386","17.6","16.7","18.5","16.7 to 18.5","319,651","49,082","45,616","52,548","45,616 to 52,548","15.4","14.3","16.5","14.3 to 16.5","128,284","27,654","25,490","29,818","25,490 to 29,818","21.6","19.9","23.3","19.9 to 23.3","$50,281","$49,626","$50,936","$49,626 to $50,936"
"2010","31","31000","Nebraska","1,776,188","224,530","216,981","232,079","216,981 to 232,079","12.6","12.2","13.0","12.2 to 13.0","449,547","77,895","73,532","82,258","73,532 to 82,258","17.3","16.3","18.3","16.3 to 18.3","318,026","49,230","45,294","53,166","45,294 to 53,166","15.5","14.3","16.7","14.3 to 16.7","128,992","26,193","24,037","28,349","24,037 to 28,349","20.3","18.6","22.0","18.6 to 22.0","$48,415","$47,608","$49,222","$47,608 to $49,222"
"2009","31","31000","Nebraska","1,739,226","212,312","204,807","219,817","204,807 to 219,817","12.2","11.8","12.6","11.8 to 12.6","439,999","67,346","63,535","71,157","63,535 to 71,157","15.3","14.4","16.2","14.4 to 16.2","306,461","40,760","37,709","43,811","37,709 to 43,811","13.3","12.3","14.3","12.3 to 14.3","130,380","23,771","21,696","25,845","21,696 to 25,845","18.2","16.6","19.8","16.6 to 19.8","$47,470","$46,726","$48,214","$46,726 to $48,214"
"2008","31","31000","Nebraska","1,727,266","186,480","179,814","193,147","179,814 to 193,147","10.8","10.4","11.2","10.4 to 11.2","436,012","59,793","56,186","63,401","56,186 to 63,401","13.7","12.9","14.5","12.9 to 14.5","304,185","35,492","32,305","38,679","32,305 to 38,679","11.7","10.6","12.7","10.6 to 12.7","129,151","21,668","19,973","23,363","19,973 to 23,363","16.8","15.5","18.1","15.5 to 18.1","$49,731","$48,953","$50,509","$48,953 to $50,509"
"2007","31","31000","Nebraska","1,719,426","190,463","184,545","196,380","184,545 to 196,380","11.1","10.7","11.4","10.7 to 11.4","436,053","64,102","60,786","67,417","60,786 to 67,417","14.7","13.9","15.5","13.9 to 15.5","305,361","39,327","36,475","42,179","36,475 to 42,179","12.9","11.9","13.8","11.9 to 13.8","127,558","22,263","20,642","23,884","20,642 to 23,884","17.5","16.2","18.7","16.2 to 18.7","$47,072","$46,425","$47,720","$46,425 to $47,720"
"2006","31","31000","Nebraska","1,715,416","194,595","188,562","200,629","188,562 to 200,629","11.3","11.0","11.7","11.0 to 11.7","436,638","62,877","59,609","66,145","59,609 to 66,145","14.4","13.7","15.1","13.7 to 15.1","307,552","37,876","35,047","40,705","35,047 to 40,705","12.3","11.4","13.2","11.4 to 13.2","125,799","21,990","20,314","23,667","20,314 to 23,667","17.5","16.1","18.8","16.1 to 18.8","$45,369","$44,820","$45,919","$44,820 to $45,919"
"2015","32","32000","Nevada","2,850,466","424,824","412,817","436,831","412,817 to 436,831","14.9","14.5","15.3","14.5 to 15.3","658,288","142,071","135,944","148,198","135,944 to 148,198","21.6","20.7","22.5","20.7 to 22.5","482,041","96,837","91,511","102,163","91,511 to 102,163","20.1","19.0","21.2","19.0 to 21.2","173,033","42,203","39,339","45,067","39,339 to 45,067","24.4","22.7","26.1","22.7 to 26.1","$52,544","$51,612","$53,476","$51,612 to $53,476"
"2014","32","32000","Nevada","2,800,763","430,447","418,251","442,643","418,251 to 442,643","15.4","15.0","15.8","15.0 to 15.8","654,323","144,947","138,676","151,218","138,676 to 151,218","22.2","21.2","23.2","21.2 to 23.2","479,372","96,913","91,607","102,219","91,607 to 102,219","20.2","19.1","21.3","19.1 to 21.3","172,795","45,395","42,193","48,597","42,193 to 48,597","26.3","24.4","28.2","24.4 to 28.2","$51,487","$50,828","$52,146","$50,828 to $52,146"
"2013","32","32000","Nevada","2,750,482","433,267","421,242","445,292","421,242 to 445,292","15.8","15.4","16.2","15.4 to 16.2","651,285","147,638","140,726","154,550","140,726 to 154,550","22.7","21.6","23.8","21.6 to 23.8","473,129","99,599","93,685","105,513","93,685 to 105,513","21.1","19.9","22.3","19.9 to 22.3","174,440","44,460","40,950","47,970","40,950 to 47,970","25.5","23.5","27.5","23.5 to 27.5","$51,250","$50,676","$51,824","$50,676 to $51,824"
"2012","32","32000","Nevada","2,718,582","441,373","429,406","453,340","429,406 to 453,340","16.2","15.8","16.6","15.8 to 16.6","652,369","152,664","146,579","158,749","146,579 to 158,749","23.4","22.5","24.3","22.5 to 24.3","468,899","101,584","96,355","106,813","96,355 to 106,813","21.7","20.6","22.8","20.6 to 22.8","179,758","47,866","44,892","50,840","44,892 to 50,840","26.6","24.9","28.3","24.9 to 28.3","$49,909","$49,131","$50,687","$49,131 to $50,687"
"2011","32","32000","Nevada","2,684,533","423,195","410,176","436,214","410,176 to 436,214","15.8","15.3","16.3","15.3 to 16.3","653,988","145,150","138,452","151,848","138,452 to 151,848","22.2","21.2","23.2","21.2 to 23.2","466,204","96,806","90,970","102,642","90,970 to 102,642","20.8","19.5","22.1","19.5 to 22.1","183,397","44,676","41,073","48,279","41,073 to 48,279","24.4","22.4","26.4","22.4 to 26.4","$49,099","$48,171","$50,027","$48,171 to $50,027"
"2010","32","32000","Nevada","2,666,664","393,605","380,753","406,457","380,753 to 406,457","14.8","14.3","15.3","14.3 to 15.3","655,799","139,981","132,945","147,017","132,945 to 147,017","21.3","20.2","22.4","20.2 to 22.4","468,715","89,928","83,702","96,154","83,702 to 96,154","19.2","17.9","20.5","17.9 to 20.5","183,717","46,954","43,865","50,043","43,865 to 50,043","25.6","23.9","27.3","23.9 to 27.3","$50,987","$50,262","$51,712","$50,262 to $51,712"
"2009","32","32000","Nevada","2,606,531","323,738","312,900","334,575","312,900 to 334,575","12.4","12.0","12.8","12.0 to 12.8","668,524","117,742","111,394","124,091","111,394 to 124,091","17.6","16.7","18.6","16.7 to 18.6","463,283","72,969","67,849","78,089","67,849 to 78,089","15.8","14.6","16.9","14.6 to 16.9","201,035","41,167","37,486","44,849","37,486 to 44,849","20.5","18.6","22.3","18.6 to 22.3","$53,310","$52,433","$54,187","$52,433 to $54,187"
"2008","32","32000","Nevada","2,566,465","288,334","278,528","298,140","278,528 to 298,140","11.2","10.9","11.6","10.9 to 11.6","658,441","98,504","92,794","104,215","92,794 to 104,215","15.0","14.1","15.8","14.1 to 15.8","457,167","60,439","55,569","65,309","55,569 to 65,309","13.2","12.2","14.3","12.2 to 14.3","196,493","34,298","31,361","37,235","31,361 to 37,235","17.5","16.0","18.9","16.0 to 18.9","$56,432","$55,670","$57,195","$55,670 to $57,195"
"2007","32","32000","Nevada","2,528,671","267,829","258,054","277,605","258,054 to 277,605","10.6","10.2","11.0","10.2 to 11.0","647,787","96,510","90,904","102,116","90,904 to 102,116","14.9","14.0","15.8","14.0 to 15.8","452,035","62,021","56,950","67,092","56,950 to 67,092","13.7","12.6","14.8","12.6 to 14.8","190,740","30,422","27,853","32,992","27,853 to 32,992","15.9","14.6","17.3","14.6 to 17.3","$54,996","$54,155","$55,838","$54,155 to $55,838"
"2006","32","32000","Nevada","2,460,756","257,828","249,773","265,884","249,773 to 265,884","10.5","10.2","10.8","10.2 to 10.8","624,458","89,054","84,448","93,661","84,448 to 93,661","14.3","13.5","15.0","13.5 to 15.0","439,442","56,477","52,504","60,450","52,504 to 60,450","12.9","11.9","13.8","11.9 to 13.8","180,768","29,039","26,539","31,539","26,539 to 31,539","16.1","14.7","17.4","14.7 to 17.4","$52,800","$51,901","$53,699","$51,901 to $53,699"
"2015","33","33000","New Hampshire","1,288,048","108,293","102,000","114,586","102,000 to 114,586","8.4","7.9","8.9","7.9 to 8.9","258,912","28,590","26,213","30,967","26,213 to 30,967","11.0","10.1","11.9","10.1 to 11.9","194,205","19,019","16,995","21,043","16,995 to 21,043","9.8","8.8","10.8","8.8 to 10.8","63,145","8,116","7,041","9,191","7,041 to 9,191","12.9","11.2","14.6","11.2 to 14.6","$70,003","$68,837","$71,169","$68,837 to $71,169"
"2014","33","33000","New Hampshire","1,287,504","117,822","112,610","123,034","112,610 to 123,034","9.2","8.8","9.6","8.8 to 9.6","264,074","33,155","30,479","35,831","30,479 to 35,831","12.6","11.6","13.6","11.6 to 13.6","198,782","22,097","19,783","24,411","19,783 to 24,411","11.1","9.9","12.3","9.9 to 12.3","63,626","9,641","8,415","10,867","8,415 to 10,867","15.2","13.3","17.1","13.3 to 17.1","$66,469","$65,316","$67,622","$65,316 to $67,622"
"2013","33","33000","New Hampshire","1,281,175","115,146","108,939","121,353","108,939 to 121,353","9.0","8.5","9.5","8.5 to 9.5","265,467","29,059","26,173","31,945","26,173 to 31,945","10.9","9.8","12.0","9.8 to 12.0","199,476","19,714","17,275","22,153","17,275 to 22,153","9.9","8.7","11.1","8.7 to 11.1","64,224","7,871","6,500","9,242","6,500 to 9,242","12.3","10.2","14.4","10.2 to 14.4","$64,064","$62,869","$65,259","$62,869 to $65,259"
"2012","33","33000","New Hampshire","1,280,031","123,773","117,494","130,052","117,494 to 130,052","9.7","9.2","10.2","9.2 to 10.2","269,959","36,837","33,736","39,938","33,736 to 39,938","13.6","12.5","14.7","12.5 to 14.7","203,708","24,911","22,126","27,696","22,126 to 27,696","12.2","10.8","13.6","10.8 to 13.6","64,455","10,504","9,227","11,781","9,227 to 11,781","16.3","14.3","18.3","14.3 to 18.3","$63,157","$61,881","$64,433","$61,881 to $64,433"
"2011","33","33000","New Hampshire","1,279,113","114,906","109,339","120,473","109,339 to 120,473","9.0","8.6","9.4","8.6 to 9.4","276,706","33,632","30,821","36,443","30,821 to 36,443","12.2","11.2","13.2","11.2 to 13.2","209,020","22,178","19,671","24,685","19,671 to 24,685","10.6","9.4","11.8","9.4 to 11.8","66,625","10,296","8,901","11,691","8,901 to 11,691","15.5","13.4","17.6","13.4 to 17.6","$62,436","$61,238","$63,634","$61,238 to $63,634"
"2010","33","33000","New Hampshire","1,276,605","110,096","104,548","115,644","104,548 to 115,644","8.6","8.2","9.0","8.2 to 9.0","282,396","30,481","27,601","33,361","27,601 to 33,361","10.8","9.8","11.8","9.8 to 11.8","212,585","19,067","16,551","21,583","16,551 to 21,583","9.0","7.8","10.2","7.8 to 10.2","68,447","10,138","8,895","11,381","8,895 to 11,381","14.8","13.0","16.6","13.0 to 16.6","$60,917","$59,946","$61,888","$59,946 to $61,888"
"2009","33","33000","New Hampshire","1,284,592","110,769","105,285","116,253","105,285 to 116,253","8.6","8.2","9.0","8.2 to 9.0","283,587","31,278","28,357","34,199","28,357 to 34,199","11.0","10.0","12.1","10.0 to 12.1","208,671","19,559","16,997","22,121","16,997 to 22,121","9.4","8.1","10.6","8.1 to 10.6","73,074","10,094","8,806","11,381","8,806 to 11,381","13.8","12.1","15.6","12.1 to 15.6","$60,734","$59,598","$61,871","$59,598 to $61,871"
"2008","33","33000","New Hampshire","1,277,395","99,939","94,520","105,357","94,520 to 105,357","7.8","7.4","8.2","7.4 to 8.2","288,818","27,280","24,734","29,826","24,734 to 29,826","9.4","8.6","10.3","8.6 to 10.3","213,189","16,714","14,462","18,966","14,462 to 18,966","7.8","6.8","8.9","6.8 to 8.9","74,192","8,954","7,787","10,121","7,787 to 10,121","12.1","10.5","13.6","10.5 to 13.6","$63,235","$61,813","$64,657","$61,813 to $64,657"
"2007","33","33000","New Hampshire","1,274,807","93,005","88,205","97,805","88,205 to 97,805","7.3","6.9","7.7","6.9 to 7.7","292,137","26,813","24,220","29,405","24,220 to 29,405","9.2","8.3","10.1","8.3 to 10.1","216,842","17,188","14,866","19,510","14,866 to 19,510","7.9","6.9","9.0","6.9 to 9.0","73,827","8,019","6,987","9,050","6,987 to 9,050","10.9","9.5","12.3","9.5 to 12.3","$62,048","$61,056","$63,040","$61,056 to $63,040"
"2006","33","33000","New Hampshire","1,276,751","101,872","97,269","106,474","97,269 to 106,474","8.0","7.6","8.3","7.6 to 8.3","292,208","28,002","25,596","30,409","25,596 to 30,409","9.6","8.8","10.4","8.8 to 10.4","217,713","17,310","15,140","19,480","15,140 to 19,480","8.0","7.0","8.9","7.0 to 8.9","72,471","8,809","7,743","9,875","7,743 to 9,875","12.2","10.7","13.6","10.7 to 13.6","$59,265","$58,249","$60,282","$58,249 to $60,282"
"2015","34","34000","New Jersey","8,781,579","945,989","926,421","965,557","926,421 to 965,557","10.8","10.6","11.0","10.6 to 11.0","1,975,646","306,606","294,809","318,403","294,809 to 318,403","15.5","14.9","16.1","14.9 to 16.1","1,453,135","212,278","201,805","222,751","201,805 to 222,751","14.6","13.9","15.3","13.9 to 15.3","518,145","89,504","84,424","94,584","84,424 to 94,584","17.3","16.3","18.3","16.3 to 18.3","$72,337","$71,736","$72,938","$71,736 to $72,938"
"2014","34","34000","New Jersey","8,762,155","972,441","954,252","990,630","954,252 to 990,630","11.1","10.9","11.3","10.9 to 11.3","1,989,086","314,073","303,483","324,663","303,483 to 324,663","15.8","15.3","16.3","15.3 to 16.3","1,461,217","216,685","207,290","226,080","207,290 to 226,080","14.8","14.2","15.4","14.2 to 15.4","522,092","91,945","86,798","97,092","86,798 to 97,092","17.6","16.6","18.6","16.6 to 18.6","$71,968","$71,536","$72,400","$71,536 to $72,400"
"2013","34","34000","New Jersey","8,720,993","995,390","975,579","1,015,201","975,579 to 1,015,201","11.4","11.2","11.6","11.2 to 11.6","1,998,029","329,140","317,565","340,715","317,565 to 340,715","16.5","15.9","17.1","15.9 to 17.1","1,465,956","222,992","213,360","232,624","213,360 to 232,624","15.2","14.5","15.9","14.5 to 15.9","524,759","99,706","93,351","106,061","93,351 to 106,061","19.0","17.8","20.2","17.8 to 20.2","$70,224","$69,689","$70,759","$69,689 to $70,759"
"2012","34","34000","New Jersey","8,691,686","934,277","918,190","950,364","918,190 to 950,364","10.7","10.5","10.9","10.5 to 10.9","2,007,503","308,293","298,223","318,363","298,223 to 318,363","15.4","14.9","15.9","14.9 to 15.9","1,481,911","208,759","199,984","217,534","199,984 to 217,534","14.1","13.5","14.7","13.5 to 14.7","519,839","94,198","89,113","99,283","89,113 to 99,283","18.1","17.1","19.1","17.1 to 19.1","$69,705","$69,020","$70,390","$69,020 to $70,390"
"2011","34","34000","New Jersey","8,646,604","897,916","879,759","916,073","879,759 to 916,073","10.4","10.2","10.6","10.2 to 10.6","2,021,496","295,301","283,981","306,621","283,981 to 306,621","14.6","14.0","15.2","14.0 to 15.2","1,490,949","196,172","186,183","206,161","186,183 to 206,161","13.2","12.5","13.9","12.5 to 13.9","526,548","94,942","89,491","100,393","89,491 to 100,393","18.0","17.0","19.0","17.0 to 19.0","$67,574","$66,885","$68,263","$66,885 to $68,263"
"2010","34","34000","New Jersey","8,626,505","883,643","865,040","902,246","865,040 to 902,246","10.2","10.0","10.4","10.0 to 10.4","2,041,662","292,455","281,736","303,174","281,736 to 303,174","14.3","13.8","14.8","13.8 to 14.8","1,502,213","196,338","187,443","205,233","187,443 to 205,233","13.1","12.5","13.7","12.5 to 13.7","532,511","89,521","84,089","94,953","84,089 to 94,953","16.8","15.8","17.8","15.8 to 17.8","$67,719","$67,011","$68,427","$67,011 to $68,427"
"2009","34","34000","New Jersey","8,531,186","798,258","778,838","817,678","778,838 to 817,678","9.4","9.1","9.6","9.1 to 9.6","2,023,720","269,659","258,385","280,932","258,385 to 280,932","13.3","12.8","13.9","12.8 to 13.9","1,470,781","177,219","167,612","186,826","167,612 to 186,826","12.0","11.4","12.7","11.4 to 12.7","545,852","85,830","80,135","91,524","80,135 to 91,524","15.7","14.7","16.8","14.7 to 16.8","$68,444","$67,816","$69,071","$67,816 to $69,071"
"2008","34","34000","New Jersey","8,504,301","740,069","722,431","757,707","722,431 to 757,707","8.7","8.5","8.9","8.5 to 8.9","2,025,990","248,667","238,350","258,983","238,350 to 258,983","12.3","11.8","12.8","11.8 to 12.8","1,467,501","161,659","152,904","170,414","152,904 to 170,414","11.0","10.4","11.6","10.4 to 11.6","548,179","77,619","72,189","83,049","72,189 to 83,049","14.2","13.2","15.1","13.2 to 15.1","$70,347","$69,838","$70,855","$69,838 to $70,855"
"2007","34","34000","New Jersey","8,505,938","725,723","708,973","742,473","708,973 to 742,473","8.5","8.3","8.7","8.3 to 8.7","2,040,721","233,126","222,895","243,357","222,895 to 243,357","11.4","10.9","11.9","10.9 to 11.9","1,485,191","154,235","145,332","163,138","145,332 to 163,138","10.4","9.8","11.0","9.8 to 11.0","547,563","71,943","66,822","77,064","66,822 to 77,064","13.1","12.2","14.1","12.2 to 14.1","$67,142","$66,589","$67,694","$66,589 to $67,694"
"2006","34","34000","New Jersey","8,540,398","740,721","723,870","757,571","723,870 to 757,571","8.7","8.5","8.9","8.5 to 8.9","2,064,550","240,770","230,862","250,678","230,862 to 250,678","11.7","11.2","12.1","11.2 to 12.1","1,504,888","161,972","153,146","170,798","153,146 to 170,798","10.8","10.2","11.3","10.2 to 11.3","552,267","71,817","67,479","76,155","67,479 to 76,155","13.0","12.2","13.8","12.2 to 13.8","$64,549","$63,930","$65,168","$63,930 to $65,168"
"2015","35","35000","New Mexico","2,044,455","405,364","394,894","415,834","394,894 to 415,834","19.8","19.3","20.3","19.3 to 20.3","490,693","133,471","128,356","138,586","128,356 to 138,586","27.2","26.2","28.2","26.2 to 28.2","357,196","91,394","86,830","95,958","86,830 to 95,958","25.6","24.3","26.9","24.3 to 26.9","132,646","40,192","37,937","42,447","37,937 to 42,447","30.3","28.6","32.0","28.6 to 32.0","$45,524","$44,685","$46,363","$44,685 to $46,363"
"2014","35","35000","New Mexico","2,045,506","420,388","409,771","431,005","409,771 to 431,005","20.6","20.1","21.1","20.1 to 21.1","496,465","138,918","133,752","144,084","133,752 to 144,084","28.0","27.0","29.0","27.0 to 29.0","358,108","93,819","89,538","98,100","89,538 to 98,100","26.2","25.0","27.4","25.0 to 27.4","135,282","42,581","39,913","45,249","39,913 to 45,249","31.5","29.5","33.5","29.5 to 33.5","$44,905","$44,100","$45,710","$44,100 to $45,710"
"2013","35","35000","New Mexico","2,045,405","437,923","427,727","448,119","427,727 to 448,119","21.4","20.9","21.9","20.9 to 21.9","502,248","151,127","146,034","156,220","146,034 to 156,220","30.1","29.1","31.1","29.1 to 31.1","363,756","103,790","99,390","108,190","99,390 to 108,190","28.5","27.3","29.7","27.3 to 29.7","136,637","45,301","42,751","47,851","42,751 to 47,851","33.2","31.3","35.1","31.3 to 35.1","$44,026","$43,134","$44,918","$43,134 to $44,918"
"2012","35","35000","New Mexico","2,044,796","421,123","411,829","430,417","411,829 to 430,417","20.6","20.1","21.1","20.1 to 21.1","507,677","146,710","141,848","151,572","141,848 to 151,572","28.9","27.9","29.9","27.9 to 29.9","365,047","98,654","94,470","102,838","94,470 to 102,838","27.0","25.9","28.1","25.9 to 28.1","141,186","46,398","43,975","48,821","43,975 to 48,821","32.9","31.2","34.6","31.2 to 34.6","$42,828","$41,985","$43,671","$41,985 to $43,671"
