"Experiment","Attribute","Beta.Coeff","P.Value","Adj.R2","DF","Geography","Data.range"
12,"MONTH.AGE.BEGIN17",0.00849402050243396,4.91438333746747e-11,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN18",0.00983595277056634,1.40393005700502e-11,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN19",0.00752610053092755,3.18270128742465e-06,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN20",0.0107495103071271,2.60304052640601e-09,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN21",0.00551887255787855,0.0123402945585517,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN22",0.00644140724870146,0.00738170143714944,0.00822353054516656,144305,"ALL","2014Q4_2015"
12,"MONTH.AGE.BEGIN23",0.0087687026399343,0.00570508037634832,0.00822353054516656,144305,"ALL","2014Q4_2015"
9,"int_rate",0.000530191921486191,2.02920289166803e-47,0.00636080629992974,269764,"ALL","2012H1"
9,"UNEMP.RT_ISS",0.000303785627069946,0.223329142052826,0.00636080629992974,269764,"ALL","2012H1"
9,"UNEMP.RT.BEGIN_DT",-0.000201235478921304,0.521976380571755,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN0",0.000173575482797548,0.825978228045053,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN1",0.000962919191853278,0.218294454937575,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN2",0.00116114345186923,0.135070058320004,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN3",0.00298346426868168,0.000109065863527331,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN4",0.00309952231916743,5.04454929928507e-05,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN5",0.00507705658732043,2.34932047211447e-11,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN6",0.00470063587465942,5.12966586485051e-10,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN7",0.00358322364980591,1.98963734043171e-06,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN8",0.00532901789482079,1.41538662567885e-12,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN9",0.00594551102846897,2.802605734454e-15,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN10",0.00626657975136881,9.92011950404068e-17,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN11",0.00503042496297404,3.15314321364471e-11,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN12",0.00545284530807665,7.41221623220435e-13,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN13",0.00660203925397603,5.98609308012894e-18,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN14",0.00614373210247431,1.63577638821858e-15,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN15",0.00626905365548361,8.31477255723787e-16,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN16",0.00388232653690611,7.86931303213974e-07,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN17",0.0061196600609778,1.35529019668294e-14,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN18",0.00652558298313505,5.97216587864257e-16,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN19",0.00626607829423431,2.03935884510865e-14,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN20",0.00668106132779676,1.11855918870172e-15,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN21",0.0068325437003437,8.7467392829346e-16,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN22",0.00572652005037749,4.44210192870362e-11,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN23",0.0063475167079702,9.78386238183321e-13,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN24",0.00685737434373662,5.4764739352766e-14,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN25",0.00549455095224465,4.44683594668566e-09,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN26",0.00603486762821335,3.65166282297637e-10,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN27",0.00402878239232741,4.82771644225832e-05,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN28",0.00671180880836811,4.27473387154572e-11,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN29",0.00751433827594173,6.12862492198948e-13,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN30",0.00585015097711214,4.70824994174113e-08,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN31",0.00590505661192857,8.27968803315912e-08,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN32",0.00448306750644446,7.63841838118606e-05,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN33",0.00493621826482218,2.34265931245042e-05,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN34",0.00687094688557979,1.12707665376392e-08,0.00636080629992974,269764,"ALL","2012H1"
9,"MONTH.AGE.BEGIN35",0.00475806147753556,0.000124988459396412,0.00636080629992974,269764,"ALL","2012H1"
8,"int_rate",0.000530893286567022,1.39802780314508e-47,0.00636297952299048,269765,"ALL","2012H1"
8,"UNEMP.RT_ISS",0.000154688076874227,0.0839918597722759,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN0",-5.67398631640939e-05,0.935650611984566,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN1",0.000743094272022039,0.290362315311612,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN2",0.000952921926810063,0.176893543423164,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN3",0.00278829964586727,8.24821240316112e-05,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN4",0.00291961386582692,4.03438813908015e-05,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN5",0.00491147980912271,6.19685296831889e-12,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN6",0.00454915011418714,2.41050648207496e-10,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN7",0.003445631127448,1.84298998849163e-06,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN8",0.00520469475036444,8.07791627336569e-13,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN9",0.00583469424574929,1.64373910609783e-15,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN10",0.006169638290493,6.99848011263322e-17,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN11",0.00494819541671956,3.43498812886385e-11,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN12",0.00538615197215436,8.59420056524161e-13,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN13",0.00655132001962511,7.12749156297164e-18,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN14",0.006108427565835,2.00890019843656e-15,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN15",0.00625008752681689,9.67224272357637e-16,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN16",0.00388078421301067,7.94768825311739e-07,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN17",0.00613723477752117,1.09906526505214e-14,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN18",0.00656424970658034,3.33022509539438e-16,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN19",0.00632520776333107,7.86060093924724e-15,0.00636297952299048,269765,"ALL","2012H1"
8,"MONTH.AGE.BEGIN20",0.00676168020387007,2.32777652518133e-16,0.00636297952299048,269765,"ALL","2012H1"
