"State","YEAR","Zip3","AvgIncome"
"AZ",2015,"860xx",85807
"AZ",2015,"863xx",65777
"AZ",2015,"864xx",59677
"AZ",2015,"865xx",5229
"AZ",2016,"850xx",156097
"AZ",2016,"851xx",109139
"AZ",2016,"852xx",229321
"AZ",2016,"853xx",150260
"AZ",2016,"855xx",37054
"AZ",2016,"856xx",69650
"AZ",2016,"857xx",138205
"AZ",2016,"859xx",22772
"AZ",2016,"860xx",85807
"AZ",2016,"863xx",65777
"AZ",2016,"864xx",59677
"AZ",2016,"865xx",5229
"CA",2011,"900xx",212123
"CA",2011,"902xx",295886
"CA",2011,"903xx",101407
"CA",2011,"904xx",224909
"CA",2011,"905xx",175129
"CA",2011,"906xx",186605
"CA",2011,"907xx",163210
"CA",2011,"908xx",191945
"CA",2011,"910xx",164938
"CA",2011,"911xx",164866
"CA",2011,"912xx",104096
"CA",2011,"913xx",206094
"CA",2011,"914xx",215105
"CA",2011,"915xx",109639
"CA",2011,"916xx",154561
"CA",2011,"917xx",177889
"CA",2011,"918xx",147743
"CA",2011,"919xx",180590
"CA",2011,"920xx",201400
"CA",2011,"921xx",228081
"CA",2011,"922xx",118055
"CA",2011,"923xx",162848
"CA",2011,"924xx",131008
"CA",2011,"925xx",161616
"CA",2011,"926xx",271094
"CA",2011,"927xx",221683
"CA",2011,"928xx",180098
"CA",2011,"930xx",205667
"CA",2011,"931xx",122677
"CA",2011,"932xx",112226
"CA",2011,"933xx",181863
"CA",2011,"934xx",114472
"CA",2011,"935xx",147119
"CA",2011,"936xx",95337
"CA",2011,"937xx",145595
"CA",2011,"939xx",141568
"CA",2011,"940xx",407939
"CA",2011,"941xx",293221
"CA",2011,"943xx",483313
"CA",2011,"944xx",287442
"CA",2011,"945xx",260907
"CA",2011,"946xx",172088
"CA",2011,"947xx",108062
"CA",2011,"948xx",138585
"CA",2011,"949xx",209044
"CA",2011,"950xx",319528
"CA",2011,"951xx",225645
"CA",2011,"952xx",109590
"CA",2011,"953xx",101175
"CA",2011,"954xx",100278
"CA",2011,"955xx",44899
"CA",2011,"956xx",161367
"CA",2011,"957xx",232462
"CA",2011,"958xx",130518
"CA",2011,"959xx",72966
"CA",2011,"960xx",66124
"CA",2011,"961xx",32494
"CA",2012,"900xx",226628
"CA",2012,"902xx",346812
"CA",2012,"903xx",97675
"CA",2012,"904xx",270863
"CA",2012,"905xx",183338
"CA",2012,"906xx",188186
"CA",2012,"907xx",165554
"CA",2012,"908xx",193395
"CA",2012,"910xx",187226
"CA",2012,"911xx",188185
"CA",2012,"912xx",107249
"CA",2012,"913xx",219976
"CA",2012,"914xx",236848
"CA",2012,"915xx",113089
"CA",2012,"916xx",160123
"CA",2012,"917xx",180341
"CA",2012,"918xx",147996
"CA",2012,"919xx",184478
"CA",2012,"920xx",221436
"CA",2012,"921xx",245833
"CA",2012,"922xx",114065
"CA",2012,"923xx",163339
"CA",2012,"924xx",127902
"CA",2012,"925xx",165090
"CA",2012,"926xx",308513
"CA",2012,"927xx",228618
"CA",2012,"928xx",188345
"CA",2012,"930xx",204249
"CA",2012,"931xx",137434
"CA",2012,"932xx",111705
"CA",2012,"933xx",188720
"CA",2012,"934xx",117274
"CA",2012,"935xx",147208
"CA",2012,"936xx",95680
"CA",2012,"937xx",148877
"CA",2012,"939xx",132875
"CA",2012,"940xx",528753
"CA",2012,"941xx",352364
"CA",2012,"943xx",893992
"CA",2012,"944xx",351175
"CA",2012,"945xx",287051
"CA",2012,"946xx",185407
"CA",2012,"947xx",130218
"CA",2012,"948xx",139431
"CA",2012,"949xx",249629
"CA",2012,"950xx",368069
"CA",2012,"951xx",246362
"CA",2012,"952xx",106453
"CA",2012,"953xx",101429
"CA",2012,"954xx",106637
"CA",2012,"955xx",45161
"CA",2012,"956xx",169397
"CA",2012,"957xx",257952
"CA",2012,"958xx",131818
"CA",2012,"959xx",74215
"CA",2012,"960xx",67242
"CA",2012,"961xx",33788
"CA",2013,"900xx",227724
"CA",2013,"902xx",324354
"CA",2013,"903xx",99601
"CA",2013,"904xx",267276
"CA",2013,"905xx",190295
"CA",2013,"906xx",193104
"CA",2013,"907xx",171198
"CA",2013,"908xx",199763
"CA",2013,"910xx",182034
"CA",2013,"911xx",184259
"CA",2013,"912xx",109120
"CA",2013,"913xx",224996
"CA",2013,"914xx",237590
"CA",2013,"915xx",116107
"CA",2013,"916xx",165198
"CA",2013,"917xx",184287
"CA",2013,"918xx",153088
"CA",2013,"919xx",189891
"CA",2013,"920xx",226008
"CA",2013,"921xx",256709
"CA",2013,"922xx",117998
"CA",2013,"923xx",168355
"CA",2013,"924xx",132862
"CA",2013,"925xx",171132
"CA",2013,"926xx",307708
"CA",2013,"927xx",232821
"CA",2013,"928xx",192867
"CA",2013,"930xx",208119
"CA",2013,"931xx",141010
"CA",2013,"932xx",115315
"CA",2013,"933xx",194852
"CA",2013,"934xx",121791
"CA",2013,"935xx",151591
"CA",2013,"936xx",99216
"CA",2013,"937xx",152065
"CA",2013,"939xx",133913
"CA",2013,"940xx",518492
"CA",2013,"941xx",365889
"CA",2013,"943xx",862128
"CA",2013,"944xx",365941
"CA",2013,"945xx",305485
"CA",2013,"946xx",194498
"CA",2013,"947xx",123478
"CA",2013,"948xx",145062
"CA",2013,"949xx",256160
"CA",2013,"950xx",375990
"CA",2013,"951xx",260559
"CA",2013,"952xx",109247
"CA",2013,"953xx",104920
"CA",2013,"954xx",112079
"CA",2013,"955xx",45755
"CA",2013,"956xx",175958
"CA",2013,"957xx",273883
"CA",2013,"958xx",135029
"CA",2013,"959xx",76235
"CA",2013,"960xx",68451
"CA",2013,"961xx",36139
"CA",2014,"900xx",248946
"CA",2014,"902xx",359341
"CA",2014,"903xx",101208
"CA",2014,"904xx",323774
"CA",2014,"905xx",199384
"CA",2014,"906xx",199561
"CA",2014,"907xx",176262
"CA",2014,"908xx",207767
"CA",2014,"910xx",199132
"CA",2014,"911xx",204110
"CA",2014,"912xx",115661
"CA",2014,"913xx",238321
"CA",2014,"914xx",258105
"CA",2014,"915xx",122819
"CA",2014,"916xx",175868
"CA",2014,"917xx",191281
"CA",2014,"918xx",158015
"CA",2014,"919xx",197576
"CA",2014,"920xx",241704
"CA",2014,"921xx",274382
"CA",2014,"922xx",121977
"CA",2014,"923xx",174731
"CA",2014,"924xx",135973
"CA",2014,"925xx",177625
"CA",2014,"926xx",334388
"CA",2014,"927xx",240790
"CA",2014,"928xx",203253
"CA",2014,"930xx",216576
"CA",2014,"931xx",155676
"CA",2014,"932xx",119194
"CA",2014,"933xx",203192
