"","addr_state","grade","year(issue_d)","sum(loan_amnt)","sum(total_pymnt)","mean(int_rate)","mean(UNEMP_RATE_ISSUE_DT)","mean(AGE)","mean(fico_range_low)"
"963","MI","B",2012,4708950,5185031.882901,12.0625411764706,9.04658823529412,819.929411764706,700.647058823529
"964","MI","B",2013,12327700,13770550.473908,11.8482560483871,8.53598790322581,NA,693.820564516129
"965","MI","B",2014,17864900,18717303.5256654,11.2482517006803,7.12632653061225,718.485034013605,690.227891156463
"966","MI","B",2015,29721925,21624919.9572171,10.0258805154237,5.31698555251855,NA,689.010152284264
"967","MI","C",2008,96725,102859.706608345,11.6627272727273,8.29090909090909,765.909090909091,690.454545454545
"968","MI","C",2009,174350,196159.999940546,13.3933333333333,14.0095238095238,752.190476190476,698.571428571429
"969","MI","C",2010,216600,255909.189712308,13.5469565217391,12.6695652173913,806.130434782609,690.869565217391
"970","MI","C",2011,368950,403271.829516098,13.7968421052632,10.2052631578947,726.763157894737,687.236842105263
"971","MI","C",2012,2271525,2510974.161968,15.0683414634146,9.05121951219512,755.707317073171,681.536585365854
"972","MI","C",2013,7120200,8040390.784392,15.4389411764706,8.54974789915966,763.752941176471,684.403361344538
"973","MI","C",2014,13130800,13496103.4797774,14.1105089058524,7.09007633587786,678.502120441052,681.348600508906
"974","MI","C",2015,23906775,18269525.2075184,13.2491801760074,5.35377489578509,NA,682.424733672997
"975","MI","D",2008,39000,37485.0977399846,13.22,8.35,852,675
"976","MI","D",2009,140300,162578.816422128,15.1375,13.8166666666667,808.833333333333,693.75
"977","MI","D",2010,129650,145865.636644481,15.0923076923077,12.7846153846154,NA,673.846153846154
"978","MI","D",2011,151675,160650.815355178,16.451875,10.2,816.4375,667.1875
"979","MI","D",2012,1087450,1137751.527149,18.2052564102564,9.04615384615385,705.948717948718,670.576923076923
"980","MI","D",2013,4095850,4600759.341691,18.6571679197995,8.5453634085213,742.428571428571,678.571428571429
"981","MI","D",2014,5808800,6041578.17151605,17.0455737704918,7.02987249544627,NA,677.149362477231
"982","MI","D",2015,10667125,8433560.75901441,16.685302530253,5.3953795379538,NA,679.125412541254
"983","MI","E",2008,14900,18656.271569048,15.225,8.3,1034,660
"984","MI","E",2009,56075,71000.6834292116,16.622,13.68,1022.2,674
"985","MI","E",2010,80000,80909.452155013,17.3325,12.925,753.25,697.5
"986","MI","E",2011,48100,58362.4452376247,18.16625,10.45,875.375,667.5
"987","MI","E",2012,460825,518077.417692,21.0163157894737,9.04210526315789,774.789473684211,668.684210526316
"988","MI","E",2013,913900,954445.926491,21.6239024390244,8.48292682926829,664.378048780488,675.975609756098
"989","MI","E",2014,2250500,2419386.32582511,20.3292788461538,7.07451923076923,NA,676.346153846154
"990","MI","E",2015,3433450,2692942.35158438,18.9855474452555,5.36532846715328,464.711678832117,677.591240875912
"991","MI","F",2009,30200,38247.7628209033,17.8925,14.275,898.25,671.25
"992","MI","F",2010,52000,62547.5246937722,19.1666666666667,12.5333333333333,690,671.666666666667
"993","MI","F",2012,89000,103852.44821,22.625,9.125,1019.5,671.25
"994","MI","F",2013,89375,110633.488896,23.7911111111111,8.4,703,683.888888888889
"995","MI","F",2014,531125,584837.847427631,24.2091666666667,7.15333333333333,622.983333333333,678.583333333333
"996","MI","F",2015,333400,221745.649666297,23.5192307692308,5.32307692307692,416.128205128205,677.564102564103
"997","MI","G",2013,7200,9055.099997,25.83,8.1,427,670
"998","MI","G",2014,88200,87953.3565055946,25.8775,7,559.25,671.25
"999","MI","G",2015,67375,51841.8368766674,26.7757142857143,5.32857142857143,348.285714285714,686.428571428571
"1000","MN","A",2008,26600,28549.155623702,8.426,5.56,559.6,768
"1001","MN","A",2009,130225,146704.343203914,8.63263157894737,7.88947368421053,855.473684210526,755
"1002","MN","A",2010,419800,436846.014596239,7.18666666666667,7.36875,788.958333333333,756.5625
"1003","MN","A",2011,926450,944363.026818436,6.80373831775701,6.36448598130841,730.532710280374,756.168224299065
"1004","MN","A",2012,1879450,2037664.985274,7.51969135802469,5.54506172839506,857.543209876543,741.882716049383
"1005","MN","A",2013,4950725,5352197.733511,7.63492163009404,4.82664576802508,819.369905956113,730.658307210031
"1006","MN","A",2014,9590225,9828995.97804793,7.43274888558692,4.08558692421991,723.39970282318,723.268945022288
"1007","MN","A",2015,19000025,13652662.1718735,6.87369549150037,3.78159645232816,538.821138211382,717.376201034738
"1008","MN","B",2008,81500,85300.4973387955,10.5057142857143,5.57142857142857,1021.28571428571,735.714285714286
"1009","MN","B",2009,174450,191052.710408869,11.9110526315789,7.89473684210526,776.789473684211,716.578947368421
"1010","MN","B",2010,335000,348037.497796811,10.6754838709677,7.31612903225806,837.838709677419,720
"1011","MN","B",2011,644300,699296.484502926,11.0471014492754,6.35942028985507,714.521739130435,703.913043478261
"1012","MN","B",2012,3099900,3443561.971,12.1922105263158,5.52105263157895,808.484210526316,695.754385964912
